,block,block_id,parameter,address,parameter_name,access,size_byte,default_value,param_mask,param_shift,max_value
0,CHAL,0,per_ch_align_en,0x0000,CHAL_00_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,0,sel_override_en,0x0000,CHAL_00_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,0,patt_en,0x0000,CHAL_00_patt_en,RW,1,0x0,1,2,1
3,CHAL,0,prbs28_en,0x0000,CHAL_00_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,0,patt_sel,0x0000,CHAL_00_patt_sel,RW,1,0x0,1,4,1
5,CHAL,0,prbs_chk_en,0x0000,CHAL_00_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,0,force_ch_outputs,0x0000,CHAL_00_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,0,sel_override_val,0x0001,CHAL_00_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,0,seed_in,0x0002,CHAL_00_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,0,user_word_0,0x0004,CHAL_00_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,0,user_word_1,0x0008,CHAL_00_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,0,user_word_2,0x000c,CHAL_00_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,0,user_word_3,0x0010,CHAL_00_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,0,pattern_match,0x0014,CHAL_00_pattern_match,RO,1,0x0,1,0,1
1,CHAL,0,snapshot_dv,0x0014,CHAL_00_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,0,hdr_mm_err,0x0014,CHAL_00_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,0,spare_err,0x0014,CHAL_00_spare_err,RO,1,0x0,1,3,1
4,CHAL,0,orbsyn_hdr_err,0x0014,CHAL_00_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,0,orbsyn_arr_err,0x0014,CHAL_00_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,0,orbsyn_fc_err,0x0014,CHAL_00_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,0,prbs_chk_err,0x0014,CHAL_00_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,0,select,0x0015,CHAL_00_select,RO,1,0x20,255,0,255
9,CHAL,0,snapshot,0x0016,CHAL_00_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,0,hdr_mm_cntr,0x002e,CHAL_00_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,0,orbsyn_hdr_err_cnt,0x0030,CHAL_00_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,0,orbsyn_arr_err_cnt,0x0031,CHAL_00_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,0,orbsyn_fc_err_cnt,0x0032,CHAL_00_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,0,prbs_chk_err_cnt,0x0033,CHAL_00_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,0,tmr_err_cnt_chan_aligner,0x0034,CHAL_00_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,0,tmr_err_cnt_chan_err,0x0035,CHAL_00_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,0,tmr_err_cnt_chan_eprxgrp,0x0036,CHAL_00_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,1,per_ch_align_en,0x0040,CHAL_01_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,1,sel_override_en,0x0040,CHAL_01_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,1,patt_en,0x0040,CHAL_01_patt_en,RW,1,0x0,1,2,1
3,CHAL,1,prbs28_en,0x0040,CHAL_01_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,1,patt_sel,0x0040,CHAL_01_patt_sel,RW,1,0x0,1,4,1
5,CHAL,1,prbs_chk_en,0x0040,CHAL_01_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,1,force_ch_outputs,0x0040,CHAL_01_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,1,sel_override_val,0x0041,CHAL_01_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,1,seed_in,0x0042,CHAL_01_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,1,user_word_0,0x0044,CHAL_01_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,1,user_word_1,0x0048,CHAL_01_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,1,user_word_2,0x004c,CHAL_01_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,1,user_word_3,0x0050,CHAL_01_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,1,pattern_match,0x0054,CHAL_01_pattern_match,RO,1,0x0,1,0,1
1,CHAL,1,snapshot_dv,0x0054,CHAL_01_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,1,hdr_mm_err,0x0054,CHAL_01_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,1,spare_err,0x0054,CHAL_01_spare_err,RO,1,0x0,1,3,1
4,CHAL,1,orbsyn_hdr_err,0x0054,CHAL_01_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,1,orbsyn_arr_err,0x0054,CHAL_01_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,1,orbsyn_fc_err,0x0054,CHAL_01_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,1,prbs_chk_err,0x0054,CHAL_01_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,1,select,0x0055,CHAL_01_select,RO,1,0x20,255,0,255
9,CHAL,1,snapshot,0x0056,CHAL_01_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,1,hdr_mm_cntr,0x006e,CHAL_01_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,1,orbsyn_hdr_err_cnt,0x0070,CHAL_01_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,1,orbsyn_arr_err_cnt,0x0071,CHAL_01_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,1,orbsyn_fc_err_cnt,0x0072,CHAL_01_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,1,prbs_chk_err_cnt,0x0073,CHAL_01_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,1,tmr_err_cnt_chan_aligner,0x0074,CHAL_01_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,1,tmr_err_cnt_chan_err,0x0075,CHAL_01_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,1,tmr_err_cnt_chan_eprxgrp,0x0076,CHAL_01_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,2,per_ch_align_en,0x0080,CHAL_02_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,2,sel_override_en,0x0080,CHAL_02_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,2,patt_en,0x0080,CHAL_02_patt_en,RW,1,0x0,1,2,1
3,CHAL,2,prbs28_en,0x0080,CHAL_02_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,2,patt_sel,0x0080,CHAL_02_patt_sel,RW,1,0x0,1,4,1
5,CHAL,2,prbs_chk_en,0x0080,CHAL_02_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,2,force_ch_outputs,0x0080,CHAL_02_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,2,sel_override_val,0x0081,CHAL_02_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,2,seed_in,0x0082,CHAL_02_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,2,user_word_0,0x0084,CHAL_02_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,2,user_word_1,0x0088,CHAL_02_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,2,user_word_2,0x008c,CHAL_02_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,2,user_word_3,0x0090,CHAL_02_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,2,pattern_match,0x0094,CHAL_02_pattern_match,RO,1,0x0,1,0,1
1,CHAL,2,snapshot_dv,0x0094,CHAL_02_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,2,hdr_mm_err,0x0094,CHAL_02_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,2,spare_err,0x0094,CHAL_02_spare_err,RO,1,0x0,1,3,1
4,CHAL,2,orbsyn_hdr_err,0x0094,CHAL_02_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,2,orbsyn_arr_err,0x0094,CHAL_02_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,2,orbsyn_fc_err,0x0094,CHAL_02_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,2,prbs_chk_err,0x0094,CHAL_02_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,2,select,0x0095,CHAL_02_select,RO,1,0x20,255,0,255
9,CHAL,2,snapshot,0x0096,CHAL_02_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,2,hdr_mm_cntr,0x00ae,CHAL_02_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,2,orbsyn_hdr_err_cnt,0x00b0,CHAL_02_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,2,orbsyn_arr_err_cnt,0x00b1,CHAL_02_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,2,orbsyn_fc_err_cnt,0x00b2,CHAL_02_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,2,prbs_chk_err_cnt,0x00b3,CHAL_02_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,2,tmr_err_cnt_chan_aligner,0x00b4,CHAL_02_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,2,tmr_err_cnt_chan_err,0x00b5,CHAL_02_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,2,tmr_err_cnt_chan_eprxgrp,0x00b6,CHAL_02_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,3,per_ch_align_en,0x00c0,CHAL_03_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,3,sel_override_en,0x00c0,CHAL_03_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,3,patt_en,0x00c0,CHAL_03_patt_en,RW,1,0x0,1,2,1
3,CHAL,3,prbs28_en,0x00c0,CHAL_03_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,3,patt_sel,0x00c0,CHAL_03_patt_sel,RW,1,0x0,1,4,1
5,CHAL,3,prbs_chk_en,0x00c0,CHAL_03_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,3,force_ch_outputs,0x00c0,CHAL_03_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,3,sel_override_val,0x00c1,CHAL_03_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,3,seed_in,0x00c2,CHAL_03_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,3,user_word_0,0x00c4,CHAL_03_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,3,user_word_1,0x00c8,CHAL_03_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,3,user_word_2,0x00cc,CHAL_03_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,3,user_word_3,0x00d0,CHAL_03_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,3,pattern_match,0x00d4,CHAL_03_pattern_match,RO,1,0x0,1,0,1
1,CHAL,3,snapshot_dv,0x00d4,CHAL_03_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,3,hdr_mm_err,0x00d4,CHAL_03_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,3,spare_err,0x00d4,CHAL_03_spare_err,RO,1,0x0,1,3,1
4,CHAL,3,orbsyn_hdr_err,0x00d4,CHAL_03_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,3,orbsyn_arr_err,0x00d4,CHAL_03_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,3,orbsyn_fc_err,0x00d4,CHAL_03_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,3,prbs_chk_err,0x00d4,CHAL_03_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,3,select,0x00d5,CHAL_03_select,RO,1,0x20,255,0,255
9,CHAL,3,snapshot,0x00d6,CHAL_03_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,3,hdr_mm_cntr,0x00ee,CHAL_03_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,3,orbsyn_hdr_err_cnt,0x00f0,CHAL_03_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,3,orbsyn_arr_err_cnt,0x00f1,CHAL_03_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,3,orbsyn_fc_err_cnt,0x00f2,CHAL_03_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,3,prbs_chk_err_cnt,0x00f3,CHAL_03_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,3,tmr_err_cnt_chan_aligner,0x00f4,CHAL_03_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,3,tmr_err_cnt_chan_err,0x00f5,CHAL_03_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,3,tmr_err_cnt_chan_eprxgrp,0x00f6,CHAL_03_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,4,per_ch_align_en,0x0100,CHAL_04_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,4,sel_override_en,0x0100,CHAL_04_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,4,patt_en,0x0100,CHAL_04_patt_en,RW,1,0x0,1,2,1
3,CHAL,4,prbs28_en,0x0100,CHAL_04_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,4,patt_sel,0x0100,CHAL_04_patt_sel,RW,1,0x0,1,4,1
5,CHAL,4,prbs_chk_en,0x0100,CHAL_04_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,4,force_ch_outputs,0x0100,CHAL_04_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,4,sel_override_val,0x0101,CHAL_04_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,4,seed_in,0x0102,CHAL_04_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,4,user_word_0,0x0104,CHAL_04_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,4,user_word_1,0x0108,CHAL_04_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,4,user_word_2,0x010c,CHAL_04_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,4,user_word_3,0x0110,CHAL_04_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,4,pattern_match,0x0114,CHAL_04_pattern_match,RO,1,0x0,1,0,1
1,CHAL,4,snapshot_dv,0x0114,CHAL_04_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,4,hdr_mm_err,0x0114,CHAL_04_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,4,spare_err,0x0114,CHAL_04_spare_err,RO,1,0x0,1,3,1
4,CHAL,4,orbsyn_hdr_err,0x0114,CHAL_04_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,4,orbsyn_arr_err,0x0114,CHAL_04_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,4,orbsyn_fc_err,0x0114,CHAL_04_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,4,prbs_chk_err,0x0114,CHAL_04_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,4,select,0x0115,CHAL_04_select,RO,1,0x20,255,0,255
9,CHAL,4,snapshot,0x0116,CHAL_04_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,4,hdr_mm_cntr,0x012e,CHAL_04_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,4,orbsyn_hdr_err_cnt,0x0130,CHAL_04_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,4,orbsyn_arr_err_cnt,0x0131,CHAL_04_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,4,orbsyn_fc_err_cnt,0x0132,CHAL_04_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,4,prbs_chk_err_cnt,0x0133,CHAL_04_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,4,tmr_err_cnt_chan_aligner,0x0134,CHAL_04_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,4,tmr_err_cnt_chan_err,0x0135,CHAL_04_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,4,tmr_err_cnt_chan_eprxgrp,0x0136,CHAL_04_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,5,per_ch_align_en,0x0140,CHAL_05_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,5,sel_override_en,0x0140,CHAL_05_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,5,patt_en,0x0140,CHAL_05_patt_en,RW,1,0x0,1,2,1
3,CHAL,5,prbs28_en,0x0140,CHAL_05_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,5,patt_sel,0x0140,CHAL_05_patt_sel,RW,1,0x0,1,4,1
5,CHAL,5,prbs_chk_en,0x0140,CHAL_05_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,5,force_ch_outputs,0x0140,CHAL_05_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,5,sel_override_val,0x0141,CHAL_05_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,5,seed_in,0x0142,CHAL_05_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,5,user_word_0,0x0144,CHAL_05_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,5,user_word_1,0x0148,CHAL_05_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,5,user_word_2,0x014c,CHAL_05_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,5,user_word_3,0x0150,CHAL_05_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,5,pattern_match,0x0154,CHAL_05_pattern_match,RO,1,0x0,1,0,1
1,CHAL,5,snapshot_dv,0x0154,CHAL_05_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,5,hdr_mm_err,0x0154,CHAL_05_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,5,spare_err,0x0154,CHAL_05_spare_err,RO,1,0x0,1,3,1
4,CHAL,5,orbsyn_hdr_err,0x0154,CHAL_05_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,5,orbsyn_arr_err,0x0154,CHAL_05_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,5,orbsyn_fc_err,0x0154,CHAL_05_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,5,prbs_chk_err,0x0154,CHAL_05_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,5,select,0x0155,CHAL_05_select,RO,1,0x20,255,0,255
9,CHAL,5,snapshot,0x0156,CHAL_05_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,5,hdr_mm_cntr,0x016e,CHAL_05_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,5,orbsyn_hdr_err_cnt,0x0170,CHAL_05_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,5,orbsyn_arr_err_cnt,0x0171,CHAL_05_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,5,orbsyn_fc_err_cnt,0x0172,CHAL_05_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,5,prbs_chk_err_cnt,0x0173,CHAL_05_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,5,tmr_err_cnt_chan_aligner,0x0174,CHAL_05_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,5,tmr_err_cnt_chan_err,0x0175,CHAL_05_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,5,tmr_err_cnt_chan_eprxgrp,0x0176,CHAL_05_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,6,per_ch_align_en,0x0180,CHAL_06_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,6,sel_override_en,0x0180,CHAL_06_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,6,patt_en,0x0180,CHAL_06_patt_en,RW,1,0x0,1,2,1
3,CHAL,6,prbs28_en,0x0180,CHAL_06_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,6,patt_sel,0x0180,CHAL_06_patt_sel,RW,1,0x0,1,4,1
5,CHAL,6,prbs_chk_en,0x0180,CHAL_06_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,6,force_ch_outputs,0x0180,CHAL_06_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,6,sel_override_val,0x0181,CHAL_06_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,6,seed_in,0x0182,CHAL_06_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,6,user_word_0,0x0184,CHAL_06_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,6,user_word_1,0x0188,CHAL_06_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,6,user_word_2,0x018c,CHAL_06_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,6,user_word_3,0x0190,CHAL_06_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,6,pattern_match,0x0194,CHAL_06_pattern_match,RO,1,0x0,1,0,1
1,CHAL,6,snapshot_dv,0x0194,CHAL_06_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,6,hdr_mm_err,0x0194,CHAL_06_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,6,spare_err,0x0194,CHAL_06_spare_err,RO,1,0x0,1,3,1
4,CHAL,6,orbsyn_hdr_err,0x0194,CHAL_06_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,6,orbsyn_arr_err,0x0194,CHAL_06_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,6,orbsyn_fc_err,0x0194,CHAL_06_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,6,prbs_chk_err,0x0194,CHAL_06_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,6,select,0x0195,CHAL_06_select,RO,1,0x20,255,0,255
9,CHAL,6,snapshot,0x0196,CHAL_06_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,6,hdr_mm_cntr,0x01ae,CHAL_06_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,6,orbsyn_hdr_err_cnt,0x01b0,CHAL_06_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,6,orbsyn_arr_err_cnt,0x01b1,CHAL_06_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,6,orbsyn_fc_err_cnt,0x01b2,CHAL_06_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,6,prbs_chk_err_cnt,0x01b3,CHAL_06_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,6,tmr_err_cnt_chan_aligner,0x01b4,CHAL_06_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,6,tmr_err_cnt_chan_err,0x01b5,CHAL_06_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,6,tmr_err_cnt_chan_eprxgrp,0x01b6,CHAL_06_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,7,per_ch_align_en,0x01c0,CHAL_07_per_ch_align_en,RW,1,0x1,1,0,1
1,CHAL,7,sel_override_en,0x01c0,CHAL_07_sel_override_en,RW,1,0x0,1,1,1
2,CHAL,7,patt_en,0x01c0,CHAL_07_patt_en,RW,1,0x0,1,2,1
3,CHAL,7,prbs28_en,0x01c0,CHAL_07_prbs28_en,RW,1,0x0,1,3,1
4,CHAL,7,patt_sel,0x01c0,CHAL_07_patt_sel,RW,1,0x0,1,4,1
5,CHAL,7,prbs_chk_en,0x01c0,CHAL_07_prbs_chk_en,RW,1,0x0,1,5,1
6,CHAL,7,force_ch_outputs,0x01c0,CHAL_07_force_ch_outputs,RW,1,0x0,1,6,1
8,CHAL,7,sel_override_val,0x01c1,CHAL_07_sel_override_val,RW,1,0x0,255,0,255
9,CHAL,7,seed_in,0x01c2,CHAL_07_seed_in,RW,2,0x0,16383,0,16383
12,CHAL,7,user_word_0,0x01c4,CHAL_07_user_word_0,RW,4,0x0,4294967295,0,4294967295
16,CHAL,7,user_word_1,0x01c8,CHAL_07_user_word_1,RW,4,0x0,4294967295,0,4294967295
20,CHAL,7,user_word_2,0x01cc,CHAL_07_user_word_2,RW,4,0x0,4294967295,0,4294967295
24,CHAL,7,user_word_3,0x01d0,CHAL_07_user_word_3,RW,4,0x0,4294967295,0,4294967295
0,CHAL,7,pattern_match,0x01d4,CHAL_07_pattern_match,RO,1,0x0,1,0,1
1,CHAL,7,snapshot_dv,0x01d4,CHAL_07_snapshot_dv,RO,1,0x0,1,1,1
2,CHAL,7,hdr_mm_err,0x01d4,CHAL_07_hdr_mm_err,RO,1,0x0,1,2,1
3,CHAL,7,spare_err,0x01d4,CHAL_07_spare_err,RO,1,0x0,1,3,1
4,CHAL,7,orbsyn_hdr_err,0x01d4,CHAL_07_orbsyn_hdr_err,RO,1,0x0,1,4,1
5,CHAL,7,orbsyn_arr_err,0x01d4,CHAL_07_orbsyn_arr_err,RO,1,0x0,1,5,1
6,CHAL,7,orbsyn_fc_err,0x01d4,CHAL_07_orbsyn_fc_err,RO,1,0x0,1,6,1
7,CHAL,7,prbs_chk_err,0x01d4,CHAL_07_prbs_chk_err,RO,1,0x0,1,7,1
8,CHAL,7,select,0x01d5,CHAL_07_select,RO,1,0x20,255,0,255
9,CHAL,7,snapshot,0x01d6,CHAL_07_snapshot,RO,24,0x0,-1,0,-1
33,CHAL,7,hdr_mm_cntr,0x01ee,CHAL_07_hdr_mm_cntr,RO,2,0x0,65535,0,65535
35,CHAL,7,orbsyn_hdr_err_cnt,0x01f0,CHAL_07_orbsyn_hdr_err_cnt,RO,1,0x0,255,0,255
36,CHAL,7,orbsyn_arr_err_cnt,0x01f1,CHAL_07_orbsyn_arr_err_cnt,RO,1,0x0,255,0,255
37,CHAL,7,orbsyn_fc_err_cnt,0x01f2,CHAL_07_orbsyn_fc_err_cnt,RO,1,0x0,255,0,255
38,CHAL,7,prbs_chk_err_cnt,0x01f3,CHAL_07_prbs_chk_err_cnt,RO,1,0x0,255,0,255
39,CHAL,7,tmr_err_cnt_chan_aligner,0x01f4,CHAL_07_tmr_err_cnt_chan_aligner,RO,1,0x0,255,0,255
40,CHAL,7,tmr_err_cnt_chan_err,0x01f5,CHAL_07_tmr_err_cnt_chan_err,RO,1,0x0,255,0,255
41,CHAL,7,tmr_err_cnt_chan_eprxgrp,0x01f6,CHAL_07_tmr_err_cnt_chan_eprxgrp,RO,1,0x0,255,0,255
0,CHAL,8,per_ch_align_en,0x0200,CHAL_08_per_ch_align_en,RW,1,0x1,1,0,1
